아이디,등장인물,페이지,상황,대사,키워드
a401a,아리엘,4-1,아리엘은 인간이 되어 해변에 도착하지만. 목소리를 잃어 고통스러워합니다.,목소리가 없으니 너무 힘들어,
a402a,아리엘,4-2,그녀는 인간 세계에서의 삶이 생각보다 어렵다는 것을 깨닫고. 소통의 어려움과 고독을 경험합니다,사람들과 소통할 수 없어.,
a403a,아리엘,4-3,그녀는 인간 세계에서의 삶이 생각보다 어렵다는 것을 깨닫고. 소통의 어려움과 고독을 경험합니다,외로워…,
a404a,아리엘,4-4,그녀는 인간 세계에서의 삶이 생각보다 어렵다는 것을 깨닫고. 소통의 어려움과 고독을 경험합니다,인간 세계는 생각보다 어렵네.,
a404b,아리엘,4-4,그녀는 인간 세계에서의 삶이 생각보다 어렵다는 것을 깨닫고. 소통의 어려움과 고독을 경험합니다,이렇게 힘들 줄은 몰랐어...,
a405a,아리엘,4-5,그녀는 인간 세계의 아름다움과 동시에 그 속에서의 고통을 경험하며. 자신의 선택에 대해 후회하기 시작합니다,다시 바다로 돌아가고 싶어.,
a406a,아리엘,4-6,그녀는 인간 세계의 아름다움과 동시에 그 속에서의 고통을 경험하며. 자신의 선택에 대해 후회하기 시작합니다,내 선택이 잘못된 걸까?,
a407a,아리엘,4-7,그녀는 인간 세계의 아름다움과 동시에 그 속에서의 고통을 경험하며. 자신의 선택에 대해 후회하기 시작합니다,어떻게 해야 하지?,
a408a,아리엘,4-8,아리엘은 다시 바다로 돌아가고 싶은 마음이 커져갑니다.,바다의 친구들이 그리워.,
a409a,아리엘,4-9,아리엘은 다시 바다로 돌아가고 싶은 마음이 커져갑니다.,이 고통을 어떻게 이겨낼 수 있을까?,
a410a,아리엘,4-10,아리엘은 다시 바다로 돌아가고 싶은 마음이 커져갑니다.,다시 인어가 되고 싶어.,
