아이디,등장인물,페이지,상황,대사,키워드
a201a,아리엘,2-1,아리엘은 해변 근처에서 인간들이 즐겁게 노는 모습을 보며 부러움을 느낍니다. ,그들의 삶을 직접 보고 싶어.,
a201b,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,저 사람들은 누구일까? 인간 세계는 어떤 곳일까?,인간 세계
a201c,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,저기 인간들이 즐겁게 노는 모습이 정말 부러워...,인간
a201d,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,인간 세계에 대한 동경심이 점점 커져가.,동경심
a201e,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,저곳에서의 삶은 어떤 느낌일까?,삶
a201f,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,인간이 되면 어떤 기분일까?,인간
a201g,아리엘,2-1,그녀는 인간 세계에 대한 동경심이 커져가며 그곳에서의 삶을 꿈꾸게 됩니다. ,저 인간들은 정말 행복해 보인다. 나도 저렇게 자유롭게 살 수 있다면 얼마나 좋을까…,자유
u202a,우르술라,2-2,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,아리엘 인간 세계에 관심이 많구나.,
u202b,우르술라,2-2,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,아리엘. 인간 세계에 대한 동경심이 커지고 있구나.,
u202c,우르술라,2-2,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,나는 우르술라. 너의 소망을 이뤄줄 수 있어.,
u202d,우르술라,2-2,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,아리엘. 나를 부르셨나요?,
a203a,아리엘,2-3,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,우르술라! 왜 여기 있는 거야?,우르술라
a203b,아리엘,2-3,그러던 중 우르술라가 나타나 아리엘에게 접근합니다.,우르술라! 어떻게 알았어요?,우르술라
u204a,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,너의 소망을 이루어줄 수 있는 제안을 하러 왔지.,
u204b,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,나는 모든 것을 알고 있지. 네가 인간이 되고 싶어하는 마음도 말이야.,
u204c,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,인간이 될 수 있는 마법을 줄게.,
u204d,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,인간이 되고 싶니. 아리엘? 내가 도와줄 수 있단다.,
u204e,우르술라,2-4,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,나는 여기 당신을 도우러 왔어요. 당신이 인간이 되고 싶은 마음을 잘 알고 있답니다.,
a205a,아리엘,2-5,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,제안? 무슨 제안인데?,제안
a205b,아리엘,2-5,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,네. 맞아요. 하지만 그건 불가능한 꿈이잖아요.,불가능
a205c,아리엘,2-5,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,하지만 대가가 있을 거잖아요.,대가
u206b,우르술라,2-6,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,그렇지 않아. 내가 너를 인간으로 만들어 줄 수 있어.,
u206c,우르술라,2-6,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,나는 모든 것을 알고 있지. 네가 인간이 되고 싶어하는 마음도 말이야.,
u207a,우르술라,2-7,아리엘은 우르술라의 제안에 대해 고민하지만 인간이 되고 싶은 마음이 점점 강해집니다.,인간이 될 수 있는 마법을 줄게. 대신 대가가 필요해.,
u207c,우르술라,2-7,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,맞아. 너의 목소리를 줘야 해,
u207d,우르술라,2-7,우르술라는 아리엘의 소망을 알아채고 인간이 될 수 있는 마법을 제안합니다.,당신에게 목소리를 대가로 인간이 될 수 있는 마법을 제안하려고 합니다,
a208a,아리엘,2-8,아리엘은 우르술라의 제안에 대해 고민하지만 인간이 되고 싶은 마음이 점점 강해집니다.,대가? 어떤 대가를 말하는 거야?,대가
a208b,아리엘,2-8,아리엘은 우르술라의 제안에 대해 고민하지만 인간이 되고 싶은 마음이 점점 강해집니다.,고민이 되네요…,고민
