아이디,등장인물,페이지,상황,대사,키워드
u301a,우르술라,3-1,우르술라는 아리엘에게 목소리를 대가로 인간이 될 수 있는 마법을 제안합니다,너의 목소리를 주면. 인간이 될 수 있어.,
u301b,우르술라,3-1,우르술라는 아리엘에게 목소리를 대가로 인간이 될 수 있는 마법을 제안합니다,결정은 네 몫이야. 아리엘.,
a302a,아리엘,3-2,아리엘은 처음에는 망설이지만. 결국 인간이 되고 싶은 마음에 제안을 받아들입니다.,인간이 되고 싶어요.,인간
a302b,아리엘,3-2,아리엘은 처음에는 망설이지만. 결국 인간이 되고 싶은 마음에 제안을 받아들입니다.,정말요? 그럼 그렇게 해주세요.,해주세요
u303a,우르술라,3-3,우르술라는 아리엘에게 인간이 되면 다시는 인어로 돌아올 수 없다는 경고를 합니다. ,좋아. 하지만 다시는 인어로 돌아올 수 없어.,
a304a,아리엘,3-4,아리엘은 그럼에도 불구하고 인간이 되고 싶다는 결심을 굳힙니다,알겠어요. 그래도 할래요.,알겠어요
a304b,아리엘,3-4,아리엘은 그럼에도 불구하고 인간이 되고 싶다는 결심을 굳힙니다,준비됐어,준비
a304c,아리엘,3-4,아리엘은 그럼에도 불구하고 인간이 되고 싶다는 결심을 굳힙니다,목소리를 줄게,목소리
u305a,우르술라,3-5,아리엘은 그럼에도 불구하고 인간이 되고 싶다는 결심을 굳힙니다,그럼. 너의 목소리를 가져가마.,
a306a,아리엘,3-6,우르술라는 아리엘의 목소리를 빼앗고. 그녀를 인간으로 변신시킵니다.,아… 내 목소리가…,목소리
u307a,우르술라,3-7,우르술라는 아리엘의 목소리를 빼앗고. 그녀를 인간으로 변신시킵니다.,이제 인간이 되었어.,
u307b,우르술라,3-7,우르술라는 아리엘의 목소리를 빼앗고. 그녀를 인간으로 변신시킵니다.,아리엘. 정말로 목소리를 줄 결심을 했구나. 아주 잘 생각한 거야. 이제 우리의 거래를 시작하자. 네 목소리를 나에게 주고. 나는 너에게 인간의 다리를 줄게.,
u308a,우르술라,3-8,우르술라는 아리엘의 목소리를 빼앗고. 그녀를 인간으로 변신시킵니다.,행운을 빌어. 아리엘.,
